 &plot nbnd= 130, nks=   201 /
            0.000000  0.000000  0.000000
  -63.656  -63.656  -63.625  -63.625  -63.625  -63.625  -63.607  -63.607  -28.159  -28.159
  -28.159  -28.159  -28.111  -28.111  -27.945  -27.945  -27.901  -27.901  -27.836  -27.836
  -27.836  -27.836  -27.746  -27.745  -27.740  -27.740  -27.654  -27.654  -27.654  -27.654
  -27.547  -27.547   -4.178   -3.904   -2.852   -2.592   -2.294   -2.293   -2.117   -2.117
   -1.986   -1.956   -1.919   -1.767   -1.767   -1.754   -1.700   -1.700    3.955    3.961
    3.973    4.804    4.804    4.823    4.823    5.137    5.235    5.235    5.475    5.582
    5.582    5.788    5.914    5.919    6.069    6.069    6.163    6.163    6.822    6.918
    6.954    6.985    7.064    7.064    7.108    7.116    7.116    7.351    7.351    7.500
    7.693    7.693    7.750    7.804    8.353    8.353    8.479    8.627    8.627    8.891
    9.058    9.189    9.189    9.309    9.330    9.465    9.465    9.548    9.944   10.250
   10.294   10.457   10.478   10.510   10.678   10.917   11.608   11.632   12.729   12.870
   13.058   13.058   13.085   13.085   13.108   13.108   13.332   13.332   13.411   13.447
   13.590   13.590   13.795   14.304   14.362   14.438   14.438   14.591   14.619   14.717
            0.000000  0.049761  0.000000
  -63.656  -63.656  -63.626  -63.626  -63.624  -63.624  -63.607  -63.607  -28.159  -28.159
  -28.159  -28.159  -28.111  -28.111  -27.945  -27.945  -27.900  -27.900  -27.837  -27.837
  -27.836  -27.836  -27.746  -27.746  -27.740  -27.740  -27.659  -27.659  -27.649  -27.649
  -27.547  -27.547   -4.176   -3.902   -2.851   -2.591   -2.302   -2.291   -2.124   -2.114
   -1.985   -1.955   -1.919   -1.798   -1.754   -1.734   -1.733   -1.669    3.957    3.963
    3.975    4.784    4.808    4.829    4.845    5.139    5.177    5.298    5.474    5.569
    5.588    5.788    5.914    5.917    6.019    6.120    6.161    6.178    6.822    6.907
    6.950    6.978    7.025    7.028    7.122    7.137    7.168    7.284    7.407    7.501
    7.681    7.712    7.750    7.811    8.293    8.407    8.478    8.567    8.686    8.870
    9.018    9.180    9.200    9.321    9.364    9.452    9.485    9.548    9.941   10.247
   10.273   10.470   10.475   10.481   10.663   10.948   11.617   11.631   12.734   12.874
   13.021   13.038   13.060   13.099   13.117   13.141   13.319   13.349   13.411   13.446
   13.580   13.602   13.796   14.293   14.360   14.418   14.460   14.588   14.614   14.717
            0.000000  0.099523  0.000000
